name,type,attributeConstraint,isRequired,isSearchable,label.de,label.en,label.it,enumKey,enumLabel,enumLabel.de,enumLabel.en,enumLabel.it,textInputHint,isVariant
creationDate,datetime,None,false,true,Erstelldatum,Date of Creation,Date of Creation,,,,,,,
articleNumberManufacturer,text,None,false,true,Herstellernummer,Manufacturer AID,Manufacturer AID,,,,,,SingleLine,
articleNumberMax,text,None,false,true,Artikelnummer Maximilian,AID Maximilian,AID Maximilian,,,,,,SingleLine,
baseId,text,None,true,true,BasisID,BaseID,BaseID,,,,,,SingleLine,
madeInItaly,enum,SameForAll,false,true,Made in Italy,Made in Italy,Made in Italy,yes,yes,,,,,
,,,,,,,,no,no,,,,,
completeTheLook,set:text,None,,,Crosselling,Crosselling,Crosselling,,,,,,SingleLine,
lookProducts,set:text,None,,,Lookprodukte,lookproducts,lookproducts,,,,,,SingleLine,
size,text,None,false,true,Größe,Size,Size,,,,,,SingleLine,
matrixId,text,Unique,false,true,Matrix ID,Matrix ID,Matrix ID,,,,,,SingleLine,
isOnStock,boolean,None,false,true,isOnStock,isOnStock,isOnStock,,,,,,,
isLook,boolean,None,false,true,Lookprodukt,lookproduct,lookproduct,,,,,,,
commonSize,enum,None,false,true,Filtergröße,Filtersize,Filtersize,oneSize,one Size,,,,,
,,,,,,,,xxs,XXS,,,,,
,,,,,,,,xs,XS,,,,,
,,,,,,,,s,S,,,,,
,,,,,,,,m,M,,,,,
,,,,,,,,l,L,,,,,
,,,,,,,,xl,XL,,,,,
,,,,,,,,xxl,XXL,,,,,
,,,,,,,,xxxl,XXXL,,,,,
,,,,,,,,34,34,,,,,
,,,,,,,,34.5,34.5,,,,,
,,,,,,,,35,35,,,,,
,,,,,,,,35.5,35.5,,,,,
,,,,,,,,36,36,,,,,
,,,,,,,,36.5,36.5,,,,,
,,,,,,,,37,37,,,,,
,,,,,,,,37.5,37.5,,,,,
,,,,,,,,38,38,,,,,
,,,,,,,,38.5,38.5,,,,,
,,,,,,,,39,39,,,,,
,,,,,,,,39.5,39.5,,,,,
,,,,,,,,40,40,,,,,
,,,,,,,,40.5,40.5,,,,,
,,,,,,,,41,41,,,,,
,,,,,,,,41.5,41.5,,,,,
,,,,,,,,42,42,,,,,
,,,,,,,,42.5,42.5,,,,,
,,,,,,,,43,43,,,,,
,,,,,,,,43.5,43.5,,,,,
,,,,,,,,44,44,,,,,
,,,,,,,,44.5,44.5,,,,,
,,,,,,,,45,45,,,,,
,,,,,,,,45.5,45.5,,,,,
,,,,,,,,46,46,,,,,
